Company,Job Title,Salary,Location,Experience,Start Date,End Date
(주)제이세븐,[기술지원팀] 전산장비 기술지원 경력직 채용,(연봉)3000만원,서울 송파구,경력 1년0월,25.09.24,25.09.30
남양주한결재가복지센터,(교문동) 재가 요양보호사 구인합니다.,(시급)10030원,경기 구리시,경력 무관,25.09.24,25.10.08
성은방문요양센터,재가요양보호사,(시급)10030원,경기 군포시,경력 무관,25.09.24,25.11.23
(주)청송씨앤유,[올리브영 압구정로데오점] 1시간/주5일 매장 청소원 채용,(시급)14000원,서울 강남구,경력 무관,25.09.24,25.10.15
엔젤리아데이케어센터,"데이케어센터 운전원 구인(운전면허1종보통, 스타리아차량 운전)",(시급)10030원,서울 강서구,경력 무관,25.09.24,25.11.23
검단방문요양센터,2등급 할머니 재가 요양보호사 모집,(시급)10030원,경기 광주시,경력 무관,25.09.24,25.11.23
동부엔텍(주)안양자원회수사업소,동부엔텍(주)안양자원회수사업소 소각시설 운영직원 모집,(연봉)3200만원,경기 안양시,경력 무관,25.09.24,25.11.21
로지앤제니스,의왕고천대방디에트르센트럴 1차 아파트 미화원 채용,(월급)199만원,경기 의왕시,경력 무관,25.09.24,25.10.08
가구마다 재가요양센터,재가요양보호사모집,(시급)10030원,서울 영등포구,경력 무관,25.09.24,25.11.23
36식자재,일패동 / 식자재 도소매업 경리(단순 사무직) 구인,(월급)230만원,경기 남양주시,경력 무관,25.09.24,25.10.31
영화방문요양센터,장항동 5등급남자어르신 방문목욕 요양보호사 모집,(시급)20000원,경기 고양시,경력 무관,25.09.24,25.10.08
케이지비기업이전서비스,경리 사무원,(월급)260만원,서울 서초구,경력 무관,25.09.24,25.11.23
마두노인복지센터,방문요양보호사 구인,(시급)10030원,경기 고양시,경력 무관,25.09.24,25.11.21
기쁨해노인복지센터,서초구 헌릉로 요양보호사채용공고,(시급)12800원,서울 서초구,경력 무관,25.09.24,25.11.23
요한노인복지센타,요한노인복지센터 재가요양보호사 구인(주안동),(시급)10030원,인천 미추홀구,경력 무관,25.09.24,25.10.07
(주)케이알산업,"(주)고삼하이파크 경력 채용(회계,재무,인사 업무)",(연봉)6000만원,경기 안성시,경력 3년0월,25.09.24,25.11.23
한결사랑 재가복지센터,[한결사랑재가복지센터] 사회복지사 채용,(월급)220만원,서울 관악구,경력 무관,25.09.24,25.11.23
이룸골프,"골프아카데미 매니져 모집 평일 오후6시~10시 4일, 일요일 오전 10시~19시",(월급)126만원,서울 강남구,경력 무관,25.09.24,25.11.23
아리아케어 방문요양 강서 등촌센터,4등급 여자 어르신 요양 보호 업무,(시급)10030원,경기 김포시,경력 무관,25.09.24,25.11.23
어울림방문요양센터,"도봉고등학교부근 4등급 여자 독거어르신(9-12시)근무 총시급12,800원",(시급)10030원,서울 도봉구,경력 0년6월,25.09.24,25.10.08
제이앤디시스템,자동문 기계시공 및 유지보수 신입/경력 직원 채용,(연봉)2700만원,경기 평택시,경력 무관,25.09.24,25.11.22
새솔초등학교,새솔초등학교 교육공무직원(조리종사원) 대체근로자 채용 공고,(월급)214만원,경기 화성시,경력 무관,25.09.24,25.10.01
고강사랑요양원,고강사랑요양원 요양보호사 선생님 구인합니다.,(월급)210만원,경기 부천시,경력 무관,25.09.24,25.11.23
연지 재가복지센터,내곡동 4등급 할머니/ 오전/ 주6일/재가요양보호사 모집,(시급)10030원,서울 서초구,경력 무관,25.09.24,25.11.23
더편한요양센터,[9호선 석촌고분역인근/5등급 남자어르신/주5일/오후/치매교육이수필수] 요양보호사 모집,(시급)10030원,서울 송파구,경력 무관,25.09.24,25.11.23
(주)진성전자,FPCB 해외영업 [과장급] 모집,(연봉)3800만원,경기 안산시,경력 3년0월,25.09.24,25.11.23
제이앤디시스템,쇼핑몰 관리 및 블로그 마케팅 담당자 모집,(연봉)2516만원,경기 평택시,경력 무관,25.09.24,25.11.22
에스제이물산,제품 선별 및 상차 가능하신 굴삭기(포크레인) 기사님 모십니다.,(월급)320만원,경기 평택시,경력 1년0월,25.09.24,25.11.23
위포유재활데이케어센터,요양보호사 구인,(시급)10030원,서울 강서구,경력 무관,25.09.24,25.11.22
연지 재가복지센터,"[남사읍] 4등급 할머님, 오후 재가요양보호사 모집",(시급)10030원,경기 용인시,경력 무관,25.09.24,25.10.23
케이지비기업이전서비스,경리 사무원,(월급)260만원,서울 서초구,경력 무관,25.09.24,25.11.23
영화방문요양센터,장항동 5등급남자어르신 방문목욕 요양보호사 모집,(시급)20000원,경기 고양시,경력 무관,25.09.24,25.10.08
마두노인복지센터,방문요양보호사 구인,(시급)10030원,경기 고양시,경력 무관,25.09.24,25.11.21
(주)케이알산업,"(주)고삼하이파크 경력 채용(회계,재무,인사 업무)",(연봉)6000만원,경기 안성시,경력 3년0월,25.09.24,25.11.23
요한노인복지센타,요한노인복지센터 재가요양보호사 구인(주안동),(시급)10030원,인천 미추홀구,경력 무관,25.09.24,25.10.07
이룸골프,"골프아카데미 매니져 모집 평일 오후6시~10시 4일, 일요일 오전 10시~19시",(월급)126만원,서울 강남구,경력 무관,25.09.24,25.11.23
어울림방문요양센터,"도봉고등학교부근 4등급 여자 독거어르신(9-12시)근무 총시급12,800원",(시급)10030원,서울 도봉구,경력 0년6월,25.09.24,25.10.08
아리아케어 방문요양 강서 등촌센터,4등급 여자 어르신 요양 보호 업무,(시급)10030원,경기 김포시,경력 무관,25.09.24,25.11.23
한결사랑 재가복지센터,[한결사랑재가복지센터] 사회복지사 채용,(월급)220만원,서울 관악구,경력 무관,25.09.24,25.11.23
기쁨해노인복지센터,서초구 헌릉로 요양보호사채용공고,(시급)12800원,서울 서초구,경력 무관,25.09.24,25.11.23
한들,사무직직원 구인합니다,(월급)220만원,경기 화성시,경력 무관,25.09.24,25.10.15
가족요양원,김포 사우동 요양시설 요양보호사 선생님(3교대 근무),(월급)235만원,경기 김포시,경력 무관,25.09.24,25.11.23
주식회사 더채움,늘사랑(부천) 조리원 모집,(월급)260만원,경기 부천시,경력 무관,25.09.24,25.11.22
153효재가노인복지센터,요양선생님모심,(시급)10030원,경기 용인시,경력 무관,25.09.24,25.11.23
주식회사 동산아이엔스,성남 보바스기념병원 외곽 및 실내 미화(청소) 근무자 모집,(월급)229만원,경기 성남시,경력 무관,25.09.24,25.10.07
미아실버데이케어센터,미아실버데이케어센터 조리원 채용 공고,(월급)220만원,서울 강북구,경력 무관,25.09.24,25.10.10
여흥복지센터,재가 요양보호사채용,(시급)10030원,경기 여주시,경력 무관,25.09.24,25.11.17
여흥복지센터,재가 요양보호사채용,(시급)10030원,경기 여주시,경력 무관,25.09.24,25.11.17
우리택스강남본점 학사부동산중개,[세무사사무실] 세무기장 채용 공고,(연봉)3000만원,서울 강남구,경력 3년0월,25.09.24,25.11.23
승인산업주식회사,[ 시티오씨엘1단지 ] 아파트 주차장청소 미화원 모집,(월급)180만원,인천 미추홀구,경력 무관,25.09.24,25.10.08
